Лабораторная работа 2. Анализ сенсорных данных о внешней среде

Схема движения: сканирование сектора
Величина сектора: 360.0 мм
Направление сканирования: слева направо
Скорость вращения при сканировании: 5.0 град/с
Первоначальное положение робота: X_rob = 149.9 мм, Y_rob = 1060.0 мм, Ang_rob = -85.9 град
Рабочие дальномеры: левый (Rf_L), передний (Rf_F), правый (Rf_R)
Матрица положения дальномера Rf_L:
   0.000  -1.000   0.000  -120.0
   1.000   0.000   0.000   241.0
   0.000   0.000   1.000   229.5
       0       0       0       1
Матрица положения дальномера Rf_F:
   1.000   0.000   0.000   140.0
   0.000   1.000   0.000     0.0
   0.000   0.000   1.000   255.5
       0       0       0       1
Матрица положения дальномера Rf_R:
   0.000   1.000   0.000   -65.0
  -1.000   0.000   0.000  -223.0
   0.000   0.000   1.000   265.5
       0       0       0       1

Выходная информация: положение робота, координаты точек

          Time  X_rob   Y_rob  Ang_rob  X_Rf_L  Y_Rf_L   X_Rf_F  Y_Rf_F   X_Rf_R  Y_Rf_R
  чч:мм:сс.ссс     мм      мм     град      мм      мм       мм      мм       мм      мм
  16:41:51.921  149.9  1060.0     94.1     n/a     n/a     66.8  2207.0      n/a     n/a
  16:41:51.968  149.9  1060.0     94.1     n/a     n/a     66.8  2207.0      n/a     n/a
  16:41:52.015  149.9  1060.0     94.1     n/a     n/a     67.6  2197.0      n/a     n/a
  16:41:52.062  149.9  1060.0     94.1     n/a     n/a     65.4  2226.9      n/a     n/a
  16:41:52.093  149.9  1060.0     94.1     n/a     n/a     67.6  2197.0      n/a     n/a
  16:41:52.140  149.9  1060.0     94.1     n/a     n/a     67.6  2197.0      n/a     n/a
  16:41:52.171  149.9  1060.0     94.1     n/a     n/a     67.6  2197.0      n/a     n/a
  16:41:52.218  149.9  1060.0     94.1     n/a     n/a     66.1  2217.0      n/a     n/a
  16:41:52.250  149.9  1060.0     94.1     n/a     n/a     63.9  2246.9      n/a     n/a
  16:41:52.296  149.9  1060.0     94.1     n/a     n/a     64.7  2236.9      n/a     n/a
  16:41:52.343  149.9  1060.0     94.1     n/a     n/a     66.1  2217.0      n/a     n/a
  16:41:52.390  149.9  1060.0     94.1     n/a     n/a     66.1  2217.0      n/a     n/a
  16:41:52.421  149.9  1060.0     94.1     n/a     n/a     67.4  2207.0      n/a     n/a
  16:41:52.453  149.9  1060.0     94.1     n/a     n/a     68.1  2197.0      n/a     n/a
  16:41:52.500  149.9  1060.0     93.9     n/a     n/a     72.5  2197.4      n/a     n/a
  16:41:52.546  149.9  1060.0     93.7     n/a     n/a     77.1  2197.7      n/a     n/a
  16:41:52.578  149.9  1060.0     93.4     n/a     n/a     82.0  2198.0      n/a     n/a
  16:41:52.625  149.9  1060.0     93.2     n/a     n/a     85.9  2208.2      n/a     n/a
  16:41:52.671  149.9  1060.0     92.9     n/a     n/a     89.3  2238.4      n/a     n/a
  16:41:52.718  149.9  1060.0     92.7     n/a     n/a     95.3  2208.7      n/a     n/a
  16:41:52.750  149.9  1060.0     92.7     n/a     n/a     93.9  2238.7      n/a     n/a
  16:41:52.781  149.9  1060.0     92.5     n/a     n/a     98.9  2238.9      n/a     n/a
  16:41:52.828  149.9  1060.0     92.2     n/a     n/a    102.9  2259.1      n/a     n/a
  16:41:52.859  149.9  1060.0     92.0     n/a     n/a    108.6  2229.3      n/a     n/a
  16:41:52.890  149.9  1060.0     92.0     n/a     n/a    108.2  2239.3      n/a     n/a
  16:41:52.937  149.9  1060.0     91.8     n/a     n/a    113.4  2229.4      n/a     n/a
  16:41:52.984  149.9  1060.0     91.5     n/a     n/a    118.6  2219.6      n/a     n/a
  16:41:53.031  149.9  1060.0     91.3     n/a     n/a    122.9  2239.7      n/a     n/a
  16:41:53.046  149.9  1060.0     91.1     n/a     n/a    128.1  2219.8      n/a     n/a
  16:41:53.093  149.9  1060.0     91.1     n/a     n/a    128.1  2219.8   1453.9  1019.5
  16:41:53.140  149.9  1060.0     90.9     n/a     n/a    132.8  2209.9   1353.8  1012.9
  16:41:53.171  149.9  1060.0     90.6     n/a     n/a    137.5  2229.9   1083.6  1004.9
  16:41:53.218  149.9  1060.0     90.4     n/a     n/a    142.2  2210.0   1053.4  1001.1
  16:41:53.265  149.9  1060.0     90.1     n/a     n/a    147.2  2240.0   1043.1   997.1
  16:41:53.312  149.9  1060.0     89.9     n/a     n/a    151.8  2240.0   1032.8   993.6
  16:41:53.359  149.9  1060.0     89.7     n/a     n/a    156.5  2240.0   1022.6   990.1
  16:41:53.390  149.9  1060.0     89.4     n/a     n/a    161.2  2229.9   1022.3   986.6
  16:41:53.437  149.9  1060.0     89.4     n/a     n/a    161.2  2229.9   1012.3   986.7
  16:41:53.453  149.9  1060.0     89.1     n/a     n/a    167.5  2229.9    981.9   982.5
  16:41:53.500  149.9  1060.0     88.9     n/a     n/a    171.4  2179.8   1011.5   978.5
  16:41:53.546  149.9  1060.0     88.9     n/a     n/a    172.5  2239.8    991.5   978.9
  16:41:53.593  149.9  1060.0     88.7     n/a     n/a    177.3  2239.7    991.2   975.5
  16:41:53.625  149.9  1060.0     88.4     n/a     n/a    182.0  2229.5    980.8   972.2
  16:41:53.671  149.9  1060.0     88.2     n/a     n/a    185.9  2199.4    980.5   968.7
  16:41:53.718  149.9  1060.0     88.0     n/a     n/a    189.9  2189.3    980.1   965.6
  16:41:53.765  149.9  1060.0     87.7     n/a     n/a    194.2  2179.1    969.7   962.5
  16:41:53.781  149.9  1060.0     87.7     n/a     n/a    194.2  2179.1    969.7   962.5
  16:41:53.828  149.9  1060.0     87.5     n/a     n/a    199.7  2178.9    989.2   957.6
  16:41:53.875  149.9  1060.0     87.2     n/a     n/a    205.0  2178.6   1008.7   952.6
  16:41:53.906  149.9  1060.0     87.0     n/a     n/a    209.5  2178.4   1008.3   949.2
  16:41:53.953  149.9  1060.0     86.7     n/a     n/a    214.0  2178.2   1027.8   944.6
  16:41:54.000  149.9  1060.0     86.5     n/a     n/a    217.6  2157.9   1017.3   941.4
  16:41:54.046  149.9  1060.0     86.2     n/a     n/a    223.2  2177.6   1036.8   936.7
  16:41:54.078  149.9  1060.0     86.2     n/a     n/a    224.5  2197.5   1036.8   936.7
  16:41:54.125  149.9  1060.0     86.0     n/a     n/a    231.3  2227.2   1026.3   933.8
  16:41:54.156  149.9  1060.0     85.8     n/a     n/a    234.0  2196.9   1045.7   928.6
  16:41:54.203  149.9  1060.0     85.5     n/a     n/a    238.5  2196.5   1105.0   920.4
  16:41:54.234  149.9  1060.0     85.3     n/a     n/a    243.9  2206.1   1134.3   914.1
  16:41:54.281  149.9  1060.0     85.1     n/a     n/a    247.1  2185.8   1362.8   890.1
  16:41:54.328  149.9  1060.0     84.8     n/a     n/a    250.6  2175.5   1372.1   884.4
  16:41:54.359  149.9  1060.0     84.8     n/a     n/a    247.9  2145.6      n/a     n/a
  16:41:54.406  149.9  1060.0     84.6     n/a     n/a    256.2  2185.0      n/a     n/a
  16:41:54.453  149.9  1060.0     84.3     n/a     n/a    264.2  2204.3      n/a     n/a
  16:41:54.484  149.9  1060.0     84.1     n/a     n/a    266.7  2183.9      n/a     n/a
  16:41:54.531  149.9  1060.0     83.8     n/a     n/a    278.8  2253.0      n/a     n/a
  16:41:54.625  149.9  1060.0     83.4  -997.3  1072.6      n/a     n/a      n/a     n/a
  16:41:54.671  149.9  1060.0     83.1  -987.3  1076.2      n/a     n/a      n/a     n/a
  16:41:54.718  149.9  1060.0     83.1  -967.4  1073.8      n/a     n/a      n/a     n/a
  16:41:54.765  149.9  1060.0     82.9  -927.7  1073.2      n/a     n/a      n/a     n/a
  16:41:54.812  149.9  1060.0     82.7  -927.6  1077.7      n/a     n/a      n/a     n/a
  16:41:54.828  149.9  1060.0     82.4  -957.3  1086.5      n/a     n/a      n/a     n/a
  16:41:54.875  149.9  1060.0     82.2  -957.1  1090.9      n/a     n/a      n/a     n/a
  16:41:54.921  149.9  1060.0     82.0  -966.9  1096.5      n/a     n/a      n/a     n/a
  16:41:54.968  149.9  1060.0     81.7  -937.1  1096.9      n/a     n/a      n/a     n/a
  16:41:55.015  149.9  1060.0     81.7  -927.2  1095.4      n/a     n/a      n/a     n/a
  16:41:55.046  149.9  1060.0     81.5  -897.4  1095.2      n/a     n/a      n/a     n/a
  16:41:55.093  149.9  1060.0     81.3  -857.7  1093.6      n/a     n/a      n/a     n/a
  16:41:55.140  149.9  1060.0     81.0  -847.7  1095.9      n/a     n/a      n/a     n/a
  16:41:55.187  149.9  1060.0     80.8  -847.5  1100.3      n/a     n/a      n/a     n/a
  16:41:55.218  149.9  1060.0     80.5  -847.3  1105.6      n/a     n/a      n/a     n/a
  16:41:55.265  149.9  1060.0     80.2  -856.9  1111.5      n/a     n/a      n/a     n/a
  16:41:55.312  149.9  1060.0     80.2  -847.1  1109.8      n/a     n/a      n/a     n/a
  16:41:55.359  149.9  1060.0     80.0  -876.4  1119.0      n/a     n/a      n/a     n/a
  16:41:55.390  149.9  1060.0     79.8  -866.3  1121.2      n/a     n/a      n/a     n/a
  16:41:55.437  149.9  1060.0     79.5  -846.4  1121.8      n/a     n/a      n/a     n/a
  16:41:55.484  149.9  1060.0     79.3  -875.6  1131.5      n/a     n/a      n/a     n/a
  16:41:55.531  149.9  1060.0     79.1  -845.8  1130.1      n/a     n/a      n/a     n/a
  16:41:55.562  149.9  1060.0     78.8  -904.4  1145.7      n/a     n/a      n/a     n/a
  16:41:55.578  149.9  1060.0     78.8  -933.8  1151.5      n/a     n/a      n/a     n/a
  16:41:55.625  149.9  1060.0     78.6  -992.3  1167.9      n/a     n/a      n/a     n/a
  16:41:57.218  149.9  1060.0     70.7  -976.2  1326.5      n/a     n/a      n/a     n/a
  16:41:57.265  149.9  1060.0     70.5  -814.9  1274.2      n/a     n/a      n/a     n/a
  16:41:57.312  149.9  1060.0     70.3  -785.7  1268.2      n/a     n/a      n/a     n/a
  16:41:57.359  149.9  1060.0     70.3  -776.3  1264.8      n/a     n/a      n/a     n/a
  16:41:57.406  149.9  1060.0     70.0  -766.1  1265.0      n/a     n/a      n/a     n/a
  16:41:57.437  149.9  1060.0     69.8  -755.8  1265.5      n/a     n/a      n/a     n/a
  16:41:57.484  149.9  1060.0     69.6  -783.1  1279.7      n/a     n/a      n/a     n/a
  16:41:57.531  149.9  1060.0     69.3  -782.2  1283.3      n/a     n/a      n/a     n/a
  16:41:57.546  149.9  1060.0     69.1  -781.3  1287.3      n/a     n/a      n/a     n/a
  16:41:57.593  149.9  1060.0     69.1  -771.9  1283.7      n/a     n/a      n/a     n/a
  16:41:57.625  149.9  1060.0     68.9  -780.3  1291.0      n/a     n/a      n/a     n/a
  16:41:57.671  149.9  1060.0     68.6  -770.0  1291.6      n/a     n/a      n/a     n/a
  16:41:57.718  149.9  1060.0     68.4  -778.5  1298.5      n/a     n/a      n/a     n/a
  16:41:57.750  149.9  1060.0     68.2  -768.2  1298.6      n/a     n/a      n/a     n/a
  16:41:57.796  149.9  1060.0     67.9  -757.9  1298.7      n/a     n/a      n/a     n/a
  16:41:57.828  149.9  1060.0     67.9  -776.4  1306.2      n/a     n/a      n/a     n/a
  16:41:57.875  149.9  1060.0     67.7  -766.1  1306.3      n/a     n/a      n/a     n/a
  16:41:57.906  149.9  1060.0     67.5  -765.2  1309.8      n/a     n/a      n/a     n/a
  16:41:57.953  149.9  1060.0     67.2  -764.1  1313.6      n/a     n/a      n/a     n/a
  16:41:58.000  149.9  1060.0     67.0  -763.1  1317.4      n/a     n/a      n/a     n/a
  16:41:58.031  149.9  1060.0     66.7  -771.2  1325.2      n/a     n/a      n/a     n/a
  16:41:58.062  149.9  1060.0     66.7  -771.2  1325.2      n/a     n/a      n/a     n/a
  16:41:58.109  149.9  1060.0     66.5  -751.8  1320.9      n/a     n/a      n/a     n/a
  16:41:58.140  149.9  1060.0     66.3  -769.0  1332.6      n/a     n/a      n/a     n/a
  16:41:58.171  149.9  1060.0     66.0  -767.9  1336.4      n/a     n/a      n/a     n/a
  16:41:58.218  149.9  1060.0     65.8  -757.6  1336.0      n/a     n/a      n/a     n/a
  16:41:58.250  149.9  1060.0     65.8  -757.6  1336.0      n/a     n/a      n/a     n/a
  16:41:58.296  149.9  1060.0     65.6  -756.5  1339.6      n/a     n/a      n/a     n/a
  16:41:58.343  149.9  1060.0     65.4  -746.3  1339.1      n/a     n/a      n/a     n/a
  16:41:58.375  149.9  1060.0     65.1  -763.3  1351.3      n/a     n/a      n/a     n/a
  16:41:58.406  149.9  1060.0     65.1  -754.2  1347.1      n/a     n/a      n/a     n/a
  16:41:58.453  149.9  1060.0     64.9  -753.0  1350.8      n/a     n/a      n/a     n/a
  16:41:58.484  149.9  1060.0     64.6  -760.8  1358.9      n/a     n/a      n/a     n/a
  16:41:58.531  149.9  1060.0     64.4  -759.6  1362.5      n/a     n/a      n/a     n/a
  16:41:58.578  149.9  1060.0     64.2  -749.4  1361.8      n/a     n/a      n/a     n/a
  16:41:58.593  149.9  1060.0     64.2  -749.4  1361.8      n/a     n/a      n/a     n/a
  16:41:58.640  149.9  1060.0     64.0  -748.2  1365.4      n/a     n/a      n/a     n/a
  16:41:58.687  149.9  1060.0     63.7  -755.7  1374.1      n/a     n/a      n/a     n/a
  16:41:58.734  149.9  1060.0     63.4  -754.2  1378.4      n/a     n/a      n/a     n/a
  16:41:58.781  149.9  1060.0     63.2  -744.0  1377.5      n/a     n/a      n/a     n/a
  16:41:58.812  149.9  1060.0     63.2  -744.0  1377.5      n/a     n/a      n/a     n/a
  16:41:58.859  149.9  1060.0     62.9  -742.6  1381.3      n/a     n/a      n/a     n/a
  16:41:58.890  149.9  1060.0     62.7  -732.5  1380.2      n/a     n/a      n/a     n/a
  16:41:58.937  149.9  1060.0     62.5  -731.1  1383.9      n/a     n/a      n/a     n/a
  16:41:58.984  149.9  1060.0     62.2  -738.7  1392.1      n/a     n/a      n/a     n/a
  16:41:59.031  149.9  1060.0     62.0  -746.0  1400.6      n/a     n/a      n/a     n/a
  16:41:59.062  149.9  1060.0     61.8  -753.5  1408.8      n/a     n/a      n/a     n/a
  16:41:59.093  149.9  1060.0     61.5  -734.5  1403.0      n/a     n/a      n/a     n/a
  16:41:59.140  149.9  1060.0     61.5  -760.9  1417.3      n/a     n/a      n/a     n/a
  16:41:59.171  149.9  1060.0     61.3  -768.2  1425.9      n/a     n/a      n/a     n/a
  16:41:59.203  149.9  1060.0     61.1  -757.9  1424.8      n/a     n/a      n/a     n/a
  16:41:59.250  149.9  1060.0     60.8  -765.2  1433.3      n/a     n/a      n/a     n/a
  16:41:59.296  149.9  1060.0     60.6  -746.2  1427.2      n/a     n/a      n/a     n/a
  16:41:59.328  149.9  1060.0     60.6  -763.6  1437.0      n/a     n/a      n/a     n/a
  16:41:59.375  149.9  1060.0     60.4  -753.4  1435.8      n/a     n/a      n/a     n/a
  16:41:59.421  149.9  1060.0     60.1  -751.8  1439.6      n/a     n/a      n/a     n/a
  16:41:59.468  149.9  1060.0     59.9  -767.6  1453.2      n/a     n/a      n/a     n/a
  16:41:59.500  149.9  1060.0     59.7  -766.0  1457.0      n/a     n/a      n/a     n/a
  16:41:59.546  149.9  1060.0     59.4  -755.7  1455.6      n/a     n/a      n/a     n/a
  16:41:59.593  149.9  1060.0     59.2  -736.9  1449.1      n/a     n/a      n/a     n/a
  16:41:59.640  149.9  1060.0     59.0  -743.9  1457.8      n/a     n/a      n/a     n/a
  16:41:59.671  149.9  1060.0     59.0  -735.3  1452.7      n/a     n/a      n/a     n/a
  16:41:59.687  149.9  1060.0     58.6  -750.2  1468.0      n/a     n/a      n/a     n/a
  16:41:59.734  149.9  1060.0     58.4  -740.0  1466.5      n/a     n/a      n/a     n/a
  16:41:59.781  149.9  1060.0     58.4  -740.0  1466.5      n/a     n/a      n/a     n/a
  16:41:59.828  149.9  1060.0     58.2  -746.9  1475.2      n/a     n/a      n/a     n/a
  16:41:59.859  149.9  1060.0     57.9  -736.7  1473.6      n/a     n/a      n/a     n/a
  16:41:59.890  149.9  1060.0     57.7  -735.0  1477.3      n/a     n/a      n/a     n/a
  16:41:59.937  149.9  1060.0     57.5  -733.3  1480.8      n/a     n/a      n/a     n/a
  16:41:59.984  149.9  1060.0     57.2  -748.4  1495.3      n/a     n/a      n/a     n/a
  16:42:00.031  149.9  1060.0     57.0  -721.4  1482.7      n/a     n/a      n/a     n/a
  16:42:00.078  149.9  1060.0     57.0  -721.4  1482.7      n/a     n/a      n/a     n/a
  16:42:00.109  149.9  1060.0     56.8  -736.5  1497.1      n/a     n/a      n/a     n/a
  16:42:00.156  149.9  1060.0     56.5  -726.3  1495.3      n/a     n/a      n/a     n/a
  16:42:00.203  149.9  1060.0     56.3  -724.5  1498.8      n/a     n/a      n/a     n/a
  16:42:00.234  149.9  1060.0     56.1  -739.4  1513.4      n/a     n/a      n/a     n/a
  16:42:00.281  149.9  1060.0     55.8  -737.4  1517.2      n/a     n/a      n/a     n/a
  16:42:00.328  149.9  1060.0     55.6  -752.1  1532.1      n/a     n/a      n/a     n/a
  16:42:00.359  149.9  1060.0     55.4  -750.2  1535.8      n/a     n/a      n/a     n/a
  16:42:00.406  149.9  1060.0     55.4  -733.7  1524.4      n/a     n/a      n/a     n/a
  16:42:00.437  149.9  1060.0     55.1  -731.8  1528.0      n/a     n/a      n/a     n/a
  16:42:00.484  149.9  1060.0     54.9  -738.1  1537.3      n/a     n/a      n/a     n/a
  16:42:00.515  149.9  1060.0     54.7  -719.8  1529.4      n/a     n/a      n/a     n/a
  16:42:00.562  149.9  1060.0     54.4  -726.0  1538.8      n/a     n/a      n/a     n/a
  16:42:00.609  149.9  1060.0     54.2  -732.2  1548.1      n/a     n/a      n/a     n/a
  16:42:00.640  149.9  1060.0     54.2  -724.1  1542.3      n/a     n/a      n/a     n/a
  16:42:00.687  149.9  1060.0     54.0  -746.3  1563.6      n/a     n/a      n/a     n/a
  16:42:00.734  149.9  1060.0     53.7  -792.7  1602.6      n/a     n/a      n/a     n/a
  16:42:00.765  149.9  1060.0     53.5  -798.5  1612.4      n/a     n/a      n/a     n/a
  16:42:01.281  149.9  1060.0     50.9     n/a     n/a    862.3  1937.2      n/a     n/a
  16:42:01.328  149.9  1060.0     50.7     n/a     n/a    802.4  1857.0      n/a     n/a
  16:42:01.359  149.9  1060.0     50.5     n/a     n/a    773.8  1815.7      n/a     n/a
  16:42:01.406  149.9  1060.0     50.5     n/a     n/a    761.1  1800.3      n/a     n/a
  16:42:01.453  149.9  1060.0     50.2     n/a     n/a    744.9  1774.8      n/a     n/a
  16:42:01.484  149.9  1060.0     50.0     n/a     n/a    747.7  1772.4      n/a     n/a
  16:42:01.531  149.9  1060.0     49.8     n/a     n/a    750.7  1769.9      n/a     n/a
  16:42:01.562  149.9  1060.0     49.5     n/a     n/a    753.7  1767.4      n/a     n/a
  16:42:01.609  149.9  1060.0     49.3     n/a     n/a    756.6  1764.9      n/a     n/a
  16:42:01.640  149.9  1060.0     49.3     n/a     n/a    750.0  1757.3      n/a     n/a
  16:42:01.687  149.9  1060.0     49.0     n/a     n/a    746.4  1747.3      n/a     n/a
  16:42:01.734  149.9  1060.0     48.8     n/a     n/a    749.1  1744.9      n/a     n/a
  16:42:01.765  149.9  1060.0     48.6     n/a     n/a    751.8  1742.6      n/a     n/a
  16:42:01.812  149.9  1060.0     48.4     n/a     n/a    754.6  1740.0      n/a     n/a
  16:42:01.843  149.9  1060.0     48.1     n/a     n/a    757.5  1737.5      n/a     n/a
  16:42:01.906  149.9  1060.0     47.9     n/a     n/a    760.1  1735.1      n/a     n/a
  16:42:01.937  149.9  1060.0     47.9     n/a     n/a    740.0  1712.9      n/a     n/a
  16:42:01.984  149.9  1060.0     47.7     n/a     n/a    762.8  1732.6      n/a     n/a
  16:42:02.015  149.9  1060.0     47.4     n/a     n/a    752.2  1715.3      n/a     n/a
  16:42:02.031  149.9  1060.0     47.4     n/a     n/a    765.7  1730.0      n/a     n/a
  16:42:02.078  149.9  1060.0     47.2     n/a     n/a    761.6  1720.2      n/a     n/a
  16:42:02.109  149.9  1060.0     46.9     n/a     n/a    771.2  1724.9      n/a     n/a
  16:42:02.156  149.9  1060.0     46.7     n/a     n/a    773.7  1722.6      n/a     n/a
  16:42:02.203  149.9  1060.0     46.5     n/a     n/a    776.6  1719.9      n/a     n/a
  16:42:02.234  149.9  1060.0     46.3     n/a     n/a    772.3  1710.2      n/a     n/a
  16:42:02.281  149.9  1060.0     46.0     n/a     n/a    768.0  1700.4      n/a     n/a
  16:42:02.328  149.9  1060.0     46.0     n/a     n/a    768.0  1700.4      n/a     n/a
  16:42:02.375  149.9  1060.0     45.7     n/a     n/a    778.4  1704.2      n/a     n/a
  16:42:02.406  149.9  1060.0     45.5     n/a     n/a    781.0  1701.6      n/a     n/a
  16:42:02.453  149.9  1060.0     45.2     n/a     n/a    776.7  1691.9      n/a     n/a
  16:42:02.500  149.9  1060.0     45.0     n/a     n/a    779.2  1689.4      n/a     n/a
  16:42:02.546  149.9  1060.0     44.8     n/a     n/a    788.9  1693.8      n/a     n/a
  16:42:02.578  149.9  1060.0     44.5     n/a     n/a    791.5  1691.2      n/a     n/a
  16:42:02.625  149.9  1060.0     44.5     n/a     n/a    798.6  1698.2      n/a     n/a
  16:42:02.671  149.9  1060.0     44.3     n/a     n/a    808.3  1702.6      n/a     n/a
  16:42:02.703  149.9  1060.0     44.1     n/a     n/a    810.9  1699.9      n/a     n/a
  16:42:02.750  149.9  1060.0     43.8     n/a     n/a    821.7  1703.1      n/a     n/a
  16:42:02.796  149.9  1060.0     43.5     n/a     n/a    838.8  1714.2      n/a     n/a
  16:42:02.828  149.9  1060.0     43.5     n/a     n/a    846.1  1721.1      n/a     n/a
  16:42:02.843  149.9  1060.0     43.3     n/a     n/a    856.0  1725.1      n/a     n/a
  16:42:02.890  149.9  1060.0     43.1     n/a     n/a    858.7  1722.2      n/a     n/a
  16:42:02.937  149.9  1060.0     42.8     n/a     n/a    846.9  1705.6      n/a     n/a
  16:42:02.968  149.9  1060.0     42.8     n/a     n/a    817.5  1678.4      n/a     n/a
  16:42:03.015  149.9  1060.0     42.6     n/a     n/a    797.9  1655.4      n/a     n/a
  16:42:03.062  149.9  1060.0     42.4     n/a     n/a    785.5  1639.4      n/a     n/a
  16:42:03.093  149.9  1060.0     42.1     n/a     n/a    787.9  1636.7      n/a     n/a
  16:42:03.125  149.9  1060.0     42.1     n/a     n/a    780.5  1630.0      n/a     n/a
  16:42:03.156  149.9  1060.0     41.8     n/a     n/a    776.4  1619.6      n/a     n/a
  16:42:03.203  149.9  1060.0     41.6     n/a     n/a    778.4  1617.4      n/a     n/a
  16:42:03.250  149.9  1060.0     41.3     n/a     n/a    810.6  1641.3      n/a     n/a
  16:42:03.281  149.9  1060.0     41.1     n/a     n/a    858.1  1678.1      n/a     n/a
  16:42:03.328  149.9  1060.0     41.1     n/a     n/a    888.3  1704.4      n/a     n/a
  16:42:06.453  149.9  1060.0     25.8     n/a     n/a      n/a     n/a    653.2  -132.8
  16:42:06.500  149.9  1060.0     25.5     n/a     n/a      n/a     n/a    544.9    81.7
  16:42:06.546  149.9  1060.0     25.3     n/a     n/a      n/a     n/a    579.3    -1.3
  16:42:06.578  149.9  1060.0     25.0     n/a     n/a      n/a     n/a    414.0   341.2
  16:42:06.625  149.9  1060.0     24.8     n/a     n/a      n/a     n/a    390.2   385.5
  16:42:06.656  149.9  1060.0     24.8     n/a     n/a      n/a     n/a    390.2   385.5
  16:42:06.703  149.9  1060.0     24.6     n/a     n/a      n/a     n/a    379.0   402.7
  16:42:06.734  149.9  1060.0     24.3     n/a     n/a      n/a     n/a    372.2   410.9
  16:42:06.781  149.9  1060.0     24.1     n/a     n/a      n/a     n/a    369.7   410.0
  16:42:06.828  149.9  1060.0     23.9     n/a     n/a      n/a     n/a    362.9   418.3
  16:42:06.859  149.9  1060.0     23.6     n/a     n/a      n/a     n/a    360.3   417.4
  16:42:06.906  149.9  1060.0     23.6     n/a     n/a      n/a     n/a    360.3   417.4
  16:42:06.937  149.9  1060.0     23.4     n/a     n/a      n/a     n/a    357.7   416.6
  16:42:06.984  149.9  1060.0     23.2     n/a     n/a      n/a     n/a    351.1   424.9
  16:42:07.015  149.9  1060.0     22.9     n/a     n/a      n/a     n/a    352.3   414.9
  16:42:07.031  149.9  1060.0     22.9     n/a     n/a      n/a     n/a    352.3   414.9
  16:42:07.078  149.9  1060.0     22.7     n/a     n/a      n/a     n/a    349.8   414.1
  16:42:07.125  149.9  1060.0     22.5     n/a     n/a      n/a     n/a    350.9   404.0
  16:42:07.187  149.9  1060.0     22.2     n/a     n/a      n/a     n/a    344.4   412.4
  16:42:07.218  149.9  1060.0     22.0     n/a     n/a      n/a     n/a    345.3   402.3
  16:42:07.250  149.9  1060.0     21.8     n/a     n/a      n/a     n/a    342.8   401.6
  16:42:07.296  149.9  1060.0     21.5     n/a     n/a      n/a     n/a    343.8   391.5
  16:42:07.312  149.9  1060.0     21.5     n/a     n/a      n/a     n/a    347.5   382.2
  16:42:07.375  149.9  1060.0     21.3     n/a     n/a      n/a     n/a    352.0   362.8
  16:42:07.406  149.9  1060.0     21.0     n/a     n/a      n/a     n/a    352.3   352.5
  16:42:07.453  149.9  1060.0     20.8     n/a     n/a      n/a     n/a    353.5   342.5
  16:42:07.484  149.9  1060.0     20.6     n/a     n/a      n/a     n/a    364.7   304.2
  16:42:07.531  149.9  1060.0     20.4     n/a     n/a      n/a     n/a    365.0   293.9
  16:42:07.578  149.9  1060.0     20.4     n/a     n/a      n/a     n/a    368.5   284.6
  16:42:07.609  149.9  1060.0     20.1     n/a     n/a      n/a     n/a    365.2   283.7
  16:42:07.656  149.9  1060.0     19.9     n/a     n/a      n/a     n/a    372.3   254.6
  16:42:07.703  149.9  1060.0     19.7     n/a     n/a      n/a     n/a    382.5   216.0
  16:42:07.734  149.9  1060.0     19.4     n/a     n/a      n/a     n/a    382.4   205.7
  16:42:07.796  149.9  1060.0     19.2     n/a     n/a      n/a     n/a    392.2   167.0
  16:42:07.828  149.9  1060.0     19.0     n/a     n/a      n/a     n/a    385.2   175.4
  16:42:07.859  149.9  1060.0     19.0     n/a     n/a      n/a     n/a    394.9   147.0
  16:42:07.906  149.9  1060.0     18.7     n/a     n/a      n/a     n/a    400.7   117.6
  16:42:07.953  149.9  1060.0     18.5     n/a     n/a      n/a     n/a    362.1   221.0
  16:42:07.984  149.9  1060.0     18.3     n/a     n/a      n/a     n/a    452.6   -64.8
  16:42:08.031  149.9  1060.0     18.0     n/a     n/a      n/a     n/a    417.0    29.0
  16:42:08.062  149.9  1060.0     17.8     n/a     n/a      n/a     n/a    446.3   -76.8
  16:42:08.109  149.9  1060.0     17.6     n/a     n/a      n/a     n/a    399.6    55.5
  16:42:08.140  149.9  1060.0     17.6     n/a     n/a      n/a     n/a    462.9  -144.7
  16:42:08.250  149.9  1060.0     16.8     n/a     n/a      n/a     n/a    419.0   -52.8
  16:42:08.296  149.9  1060.0     16.6     n/a     n/a      n/a     n/a    449.1  -168.8
  16:42:08.343  149.9  1060.0     16.6     n/a     n/a      n/a     n/a    463.4  -216.7
  16:42:08.500  149.9  1060.0     15.7     n/a     n/a      n/a     n/a    445.1  -231.3
  16:42:09.718  149.9  1060.0      9.8  -182.2  2272.0      n/a     n/a      n/a     n/a
  16:42:09.765  149.9  1060.0      9.6  -184.0  2312.8      n/a     n/a      n/a     n/a
  16:42:09.796  149.9  1060.0      9.4  -173.8  2284.6      n/a     n/a      n/a     n/a
  16:42:09.843  149.9  1060.0      9.1  -168.6  2286.0      n/a     n/a      n/a     n/a
  16:42:09.859  149.9  1060.0      9.1  -168.6  2286.0      n/a     n/a      n/a     n/a
